學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1052,遠東科技大學,D 日,M 碩士,62,44,57,15,13,2,14,3,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1052,遠東科技大學,D 日,B 四技,736,356,679,381,840,545,939,579,-,-,-,-,-,-,192,57,11 臺南市,2 技職
1052,遠東科技大學,N 職,M 碩士,8,-,5,-,3,-,2,1,4,-,6,-,-,-,-,-,11 臺南市,2 技職
1052,遠東科技大學,N 修,B 四技,119,44,93,48,92,57,87,44,-,-,-,-,-,-,11,2,11 臺南市,2 技職
1052,遠東科技大學,N 修,C 二技,-,-,-,-,34,2,29,2,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1052,遠東科技大學,N 修,2 二專,21,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1053,元培醫事科技大學,D 日,M 碩士,44,47,32,37,17,25,8,7,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,B 四技,513,595,428,562,585,652,530,648,-,-,-,-,-,-,183,85,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,C 二技,-,-,-,-,2,46,2,47,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,N 職,M 碩士,7,12,5,5,-,3,-,-,-,-,-,-,-,-,-,-,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,B 四技,140,134,118,132,75,43,65,57,-,-,-,-,-,-,34,19,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,C 二技,-,-,-,-,55,127,68,202,4,33,-,-,-,-,2,2,18 新竹市,2 技職
1054,景文科技大學,D 日,M 碩士,15,12,19,7,4,1,3,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,D 日,B 四技,580,675,489,591,543,701,544,789,-,-,-,-,-,-,220,190,01 新北市,2 技職
1054,景文科技大學,D 日,C 二技,-,-,-,-,-,1,3,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,27,15,25,19,7,1,2,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,227,223,181,139,162,189,150,185,-,-,-,-,-,-,45,27,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,-,-,-,-,39,88,56,100,-,-,-,-,-,-,1,1,01 新北市,2 技職
1055,中華醫事科技大學,D 日,M 碩士,25,25,22,21,10,8,1,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,319,512,391,508,482,603,491,586,-,-,-,-,-,-,89,82,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,-,-,-,-,83,256,83,283,-,-,-,-,-,-,6,3,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,2 二專,28,22,34,25,-,-,-,-,-,-,-,-,-,-,-,1,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,142,519,141,499,120,422,72,331,87,301,-,-,-,-,11,24,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,4,2,5,7,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,90,106,63,98,78,88,69,103,3,25,-,-,-,-,39,34,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,-,-,-,-,84,218,75,258,22,80,-,-,-,-,5,16,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,51,12,57,15,14,1,4,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,847,408,758,417,926,471,896,496,-,-,-,-,-,-,278,83,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,28,2,14,7,4,1,2,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,91,21,56,11,85,21,77,32,-,-,-,-,-,-,30,8,01 新北市,2 技職
1056,東南科技大學,N 修,C 二技,-,-,-,-,-,-,11,2,-,-,-,-,-,-,3,-,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,12,9,12,9,7,-,4,1,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,634,937,704,"1,031",646,"1,073",595,"1,117",-,-,-,-,-,-,161,170,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,-,-,-,-,8,75,19,46,-,-,-,-,-,-,2,-,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,12,10,12,16,9,1,2,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,81,56,111,112,105,155,140,173,-,-,-,-,-,-,58,31,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,-,-,-,-,8,24,20,11,-,-,-,-,-,-,1,-,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,3,4,2,2,3,3,3,-,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,42,53,39,23,19,12,6,12,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,359,286,439,317,484,413,457,346,-,-,-,-,-,-,85,28,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,18,38,7,8,-,3,-,-,-,-,-,-,-,-,-,-,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,162,88,95,76,152,79,163,90,-,-,-,-,-,-,36,14,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,28,19,29,10,11,3,6,3,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,405,224,461,232,587,289,533,284,-,-,-,-,-,-,126,36,08 南投縣,2 技職
1060,南開科技大學,D 日,C 二技,-,-,-,-,19,9,22,5,-,-,-,-,-,-,1,-,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,120,22,168,36,200,43,113,29,106,38,-,-,-,-,23,8,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,16,25,14,19,6,17,5,2,-,-,-,-,-,-,-,-,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,105,60,106,66,140,80,163,90,-,-,-,-,-,-,38,17,08 南投縣,2 技職
1061,中華科技大學,D 日,M 碩士,72,27,86,25,9,5,3,1,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1061,中華科技大學,D 日,B 四技,622,319,708,371,850,467,899,448,-,-,-,-,-,-,242,85,30 臺北市,2 技職
1061,中華科技大學,D 日,C 二技,-,-,-,-,10,19,1,17,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1061,中華科技大學,N 職,M 碩士,38,11,35,13,3,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1061,中華科技大學,N 修,B 四技,178,38,175,27,136,39,143,53,-,-,-,-,-,-,44,8,30 臺北市,2 技職
1061,中華科技大學,N 修,C 二技,-,-,-,-,91,66,69,64,-,-,-,-,-,-,3,2,30 臺北市,2 技職
1061,中華科技大學,N 修,2 二專,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1062,僑光科技大學,D 日,M 碩士,11,11,7,11,4,-,2,4,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,D 日,B 四技,665,917,663,974,614,997,554,"1,028",-,-,-,-,-,-,73,63,19 臺中市,2 技職
1062,僑光科技大學,D 日,C 二技,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,D 日,5 五專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,19 臺中市,2 技職
1062,僑光科技大學,N 職,M 碩士,13,5,10,4,1,-,-,-,-,-,-,-,-,-,-,-,19 臺中市,2 技職
1062,僑光科技大學,N 修,B 四技,672,552,576,472,463,442,375,429,-,-,-,-,-,-,119,77,19 臺中市,2 技職
1062,僑光科技大學,N 修,C 二技,-,-,-,-,-,-,13,15,-,-,-,-,-,-,-,1,19 臺中市,2 技職
1062,僑光科技大學,N 修,2 二專,-,-,4,6,-,-,-,-,-,-,-,-,-,-,5,2,19 臺中市,2 技職
1063,育達科技大學,D 日,M 碩士,33,39,24,10,9,3,5,4,-,-,-,-,-,-,-,-,05 苗栗縣,2 技職
1063,育達科技大學,D 日,B 四技,214,227,264,281,334,385,341,416,-,-,-,-,-,-,126,90,05 苗栗縣,2 技職
1063,育達科技大學,N 職,M 碩士,56,53,31,20,10,4,4,1,1,-,-,-,-,-,-,-,05 苗栗縣,2 技職
1063,育達科技大學,N 修,B 四技,179,119,143,124,134,107,123,116,-,-,-,-,-,-,48,20,05 苗栗縣,2 技職
1063,育達科技大學,N 修,C 二技,-,-,-,-,110,170,70,124,-,-,-,-,-,-,1,9,05 苗栗縣,2 技職
1064,美和科技大學,D 日,M 碩士,28,42,23,24,4,8,-,5,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1064,美和科技大學,D 日,B 四技,319,417,336,437,357,455,363,451,-,-,-,-,-,-,57,42,13 屏東縣,2 技職
1064,美和科技大學,D 日,C 二技,-,-,-,-,24,174,22,199,-,-,-,-,-,-,-,5,13 屏東縣,2 技職
1064,美和科技大學,D 日,5 五專,48,340,71,331,39,308,27,295,28,256,-,-,-,-,4,23,13 屏東縣,2 技職
1064,美和科技大學,N 職,M 碩士,24,51,37,74,9,10,5,2,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1064,美和科技大學,N 修,B 四技,80,164,75,141,74,72,80,96,-,-,-,-,-,-,22,18,13 屏東縣,2 技職
1064,美和科技大學,N 修,C 二技,-,-,-,-,44,371,29,324,-,-,-,-,-,-,15,63,13 屏東縣,2 技職
1064,美和科技大學,N 修,2 二專,-,-,19,5,-,-,-,-,-,-,-,-,-,-,-,-,13 屏東縣,2 技職
1065,吳鳳科技大學,D 日,M 碩士,17,12,15,9,4,3,1,-,-,-,-,-,-,-,-,-,10 嘉義縣,2 技職
1065,吳鳳科技大學,D 日,B 四技,538,242,560,291,630,312,639,285,-,-,-,-,-,-,107,20,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 職,M 碩士,24,18,15,11,1,-,1,-,-,-,-,-,-,-,-,-,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,B 四技,158,56,135,36,181,65,209,78,-,-,-,-,-,-,30,6,10 嘉義縣,2 技職
1066,環球科技大學,D 日,M 碩士,37,34,26,27,6,4,3,4,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,D 日,B 四技,327,378,331,394,464,486,503,556,-,-,-,-,-,-,67,46,09 雲林縣,2 技職
1066,環球科技大學,D 日,C 二技,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,N 職,M 碩士,25,5,7,7,2,2,-,-,-,1,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,N 修,B 四技,103,90,134,120,146,172,124,134,-,-,-,-,-,-,19,5,09 雲林縣,2 技職
1066,環球科技大學,N 修,C 二技,-,-,-,-,35,105,39,82,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
1066,環球科技大學,N 修,2 二專,57,56,74,55,-,-,-,-,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
1067,台灣首府大學,D 日,M 碩士,12,19,8,17,3,-,-,1,-,-,-,-,-,-,-,-,11 臺南市,1 一般
1067,台灣首府大學,D 日,B 學士,211,200,171,205,292,299,380,311,-,-,-,-,-,-,69,34,11 臺南市,1 一般
1067,台灣首府大學,N 修,C 二技,-,-,-,-,-,-,10,23,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1067,台灣首府大學,P 進,B 學士,62,22,60,40,82,39,64,62,-,-,-,-,-,-,25,9,11 臺南市,1 一般
1068,中州科技大學,D 日,M 碩士,21,2,8,8,4,3,2,1,3,-,1,-,-,-,-,-,07 彰化縣,2 技職
1068,中州科技大學,D 日,B 四技,169,130,220,174,374,244,344,249,-,-,-,-,-,-,44,15,07 彰化縣,2 技職
1068,中州科技大學,D 日,C 二技,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,07 彰化縣,2 技職
1068,中州科技大學,N 職,M 碩士,21,4,2,-,1,-,1,-,1,-,-,1,-,-,-,-,07 彰化縣,2 技職
1068,中州科技大學,N 修,B 四技,178,78,120,57,140,97,130,79,-,-,-,-,-,-,15,2,07 彰化縣,2 技職
1068,中州科技大學,N 修,C 二技,-,-,-,-,130,335,15,48,-,-,-,-,-,-,-,1,07 彰化縣,2 技職
1069,修平科技大學,D 日,M 碩士,14,7,17,6,4,-,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1069,修平科技大學,D 日,B 四技,498,230,624,341,734,449,771,478,-,-,-,-,-,-,144,70,06 臺中市,2 技職
1069,修平科技大學,N 職,M 碩士,5,1,4,1,1,-,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1069,修平科技大學,N 修,B 四技,227,34,144,35,149,25,131,19,-,-,-,-,-,-,41,1,06 臺中市,2 技職
1069,修平科技大學,N 修,2 二專,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,-,28,-,21,-,7,-,2,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,114,793,128,784,94,655,57,545,-,-,-,-,-,-,-,11,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,-,-,-,-,32,694,13,705,-,-,-,-,-,-,2,3,03 桃園市,2 技職
1070,長庚科技大學,D 日,5 五專,-,-,-,-,7,108,17,197,14,205,-,-,-,-,2,7,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,1,28,-,28,-,19,-,4,-,3,-,-,-,-,-,-,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,-,-,-,-,39,622,39,595,3,79,-,-,-,-,1,6,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,32,4,30,12,12,3,9,2,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,"1,051",654,"1,060",627,"1,047",693,"1,025",688,-,-,-,-,-,-,267,161,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,C 二技,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,2 二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,148,67,247,96,230,97,142,71,183,82,-,-,-,-,18,10,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,214,76,121,47,117,32,138,48,-,-,-,-,-,-,51,13,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,14,13,11,9,-,-,-,-,-,-,-,-,-,-,1,2,30 臺北市,2 技職
1072,大華科技大學,D 日,M 碩士,6,-,5,-,5,-,5,-,-,-,1,-,-,-,-,-,04 新竹縣,2 技職
1072,大華科技大學,D 日,B 四技,79,34,40,30,115,74,168,90,-,-,-,-,-,-,80,32,04 新竹縣,2 技職
1072,大華科技大學,D 日,C 二技,-,-,-,-,16,14,12,13,-,-,-,-,-,-,1,2,04 新竹縣,2 技職
1072,大華科技大學,D 日,5 五專,78,44,69,53,104,59,63,49,129,84,-,-,-,-,14,16,04 新竹縣,2 技職
1072,大華科技大學,N 修,B 四技,107,19,66,21,98,36,54,33,-,-,-,-,-,-,29,5,04 新竹縣,2 技職
1072,大華科技大學,N 修,C 二技,-,-,-,-,263,120,327,93,-,-,-,-,-,-,2,-,04 新竹縣,2 技職
1072,大華科技大學,N 修,2 二專,40,9,18,14,-,-,-,-,-,-,-,-,-,-,2,-,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,22,11,14,7,5,1,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,638,851,527,757,578,898,516,948,-,-,-,-,-,-,101,73,01 新北市,2 技職
1073,醒吾科技大學,D 日,C 二技,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,48,75,95,133,98,165,55,95,65,169,-,-,-,-,4,4,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,28,21,12,4,7,1,2,4,6,1,-,-,-,-,-,-,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,157,186,137,158,118,118,104,128,-,-,-,-,-,-,34,18,01 新北市,2 技職
1074,南榮科技大學,D 日,M 碩士,8,7,6,5,3,2,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,D 日,B 四技,68,50,105,74,190,152,276,153,-,-,-,-,-,-,37,17,11 臺南市,2 技職
1074,南榮科技大學,D 日,C 二技,-,-,-,-,9,-,14,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,D 日,5 五專,11,-,25,9,25,12,26,12,33,9,-,-,-,-,8,5,11 臺南市,2 技職
1074,南榮科技大學,N 職,M 碩士,5,7,9,3,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1074,南榮科技大學,N 修,B 四技,51,25,57,29,110,51,140,102,-,-,-,-,-,-,38,19,11 臺南市,2 技職
1074,南榮科技大學,N 修,C 二技,-,-,-,-,27,13,9,7,-,-,-,-,-,-,1,-,11 臺南市,2 技職
1074,南榮科技大學,N 修,2 二專,77,28,26,19,-,-,-,-,-,-,-,-,-,-,3,4,11 臺南市,2 技職
1075,文藻外語大學,D 日,M 碩士,16,34,15,40,7,29,5,17,-,-,-,-,-,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,297,966,307,912,276,980,200,966,-,-,-,-,-,-,81,244,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,-,-,-,-,17,100,22,110,-,-,-,-,-,-,5,19,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,51,268,53,258,65,288,53,278,53,271,-,-,-,-,9,25,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,6,12,4,14,3,10,5,3,1,4,-,-,-,-,-,-,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,207,353,126,293,101,260,73,232,-,-,-,-,-,-,49,141,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,-,-,-,-,25,67,9,55,-,-,-,-,-,-,10,19,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,15,-,16,2,7,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,393,243,339,211,476,238,446,242,-,-,-,-,-,-,81,36,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,-,-,-,-,36,15,33,5,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,99,13,156,15,114,18,71,15,70,17,-,-,-,-,6,1,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,17,8,14,8,8,-,8,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,90,69,99,64,141,69,137,79,-,-,-,-,-,-,43,13,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,-,-,-,-,96,95,60,15,-,-,-,-,-,-,6,2,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,32,48,65,68,-,-,-,-,-,-,-,-,-,-,8,6,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,5,12,6,2,1,-,-,3,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,128,213,142,180,134,131,140,151,-,-,-,-,-,-,37,20,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,-,-,-,-,11,128,8,138,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,39,221,31,224,24,222,27,210,23,200,-,-,-,-,5,23,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,-,-,-,-,3,41,3,51,-,-,-,-,-,-,2,8,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,4,14,5,14,1,11,-,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,473,"1,046",487,"1,038",481,"1,042",425,"1,080",-,-,-,-,-,-,152,135,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,-,-,-,-,28,122,24,99,-,-,-,-,-,-,7,10,01 新北市,2 技職
1078,致理科技大學,D 日,2 二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,53,274,66,259,60,270,63,246,41,263,-,-,-,-,13,11,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,5,12,1,10,1,8,-,-,-,5,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,295,502,224,468,268,444,213,499,-,-,-,-,-,-,84,109,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,-,-,-,-,-,-,45,96,-,-,-,-,-,-,6,8,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,30,64,16,31,2,2,6,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,95,76,82,81,121,102,146,168,-,-,-,-,-,-,36,19,30 臺北市,1 一般
1079,康寧大學,D 日,2 二專,-,-,5,13,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1079,康寧大學,D 日,5 五專,148,433,144,476,126,493,113,410,117,408,-,-,-,-,8,13,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,22,53,25,24,4,5,4,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,N 修,2 二專,32,128,43,130,-,-,-,-,-,-,-,-,-,-,1,8,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,97,63,66,30,83,67,53,35,-,-,-,-,-,-,3,3,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,B 四技,366,261,406,244,411,299,419,317,-,-,-,-,-,-,91,38,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,-,-,-,-,9,40,8,29,-,-,-,-,-,-,-,-,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,160,98,232,121,189,108,162,97,186,112,-,-,-,-,16,8,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,175,132,219,123,224,137,166,97,-,-,-,-,-,-,36,13,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,-,-,-,-,188,134,142,84,-,-,-,-,-,-,9,3,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,2 二專,59,53,84,54,-,-,-,-,-,-,-,-,-,-,7,2,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,4,4,5,6,5,3,2,1,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,21,29,19,27,10,11,1,1,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,180,109,117,111,197,170,179,218,-,-,-,-,-,-,48,39,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,-,-,-,-,15,12,5,10,-,-,-,-,-,-,3,2,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,97,131,133,159,170,201,110,141,95,175,-,-,-,-,10,10,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,7,9,5,3,4,-,2,2,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,19,36,16,29,23,23,8,7,-,-,-,-,-,-,2,1,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,24,20,15,18,2,3,-,-,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,232,351,214,221,275,339,218,253,-,-,-,-,-,-,107,73,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,5 五專,-,-,38,39,35,39,31,39,33,54,-,-,-,-,2,10,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,32,22,16,13,2,1,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,373,329,364,316,465,436,439,427,-,-,-,-,-,-,115,89,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,-,-,-,-,68,36,75,26,-,-,-,-,-,-,10,1,01 新北市,2 技職
1083,台北海洋科技大學,D 日,X 4+X,-,-,24,3,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,38,2,49,6,-,-,-,-,-,-,-,-,-,-,9,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,139,56,163,96,160,106,136,95,141,107,-,-,-,-,29,10,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,10,17,9,32,14,15,15,13,-,-,-,-,-,-,8,1,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,-,-,-,-,11,33,10,24,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,43,5,38,3,-,-,-,-,-,-,-,-,-,-,5,-,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,13,17,7,8,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,74,79,67,73,58,75,6,4,-,-,-,-,-,-,1,1,21 臺南市,1 一般
1125,中信金融管理學院,P 進,B 學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,29,11,26,5,11,3,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,59,39,53,25,53,29,67,30,-,-,-,-,-,-,25,4,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,76,40,53,25,46,24,38,30,-,-,-,-,-,-,4,3,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,-,-,-,-,90,77,87,63,-,-,-,-,-,-,1,1,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,50,41,40,44,-,-,-,-,-,-,-,-,-,-,1,2,15 花蓮縣,2 技職
1159,和春技術學院,D 日,M 碩士,10,3,16,2,8,1,1,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1159,和春技術學院,D 日,B 四技,41,18,103,97,113,70,130,48,-,-,-,-,-,-,63,30,12 高雄市,2 技職
1159,和春技術學院,D 日,C 二技,-,-,-,-,2,8,12,8,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,18,25,48,51,35,18,30,14,37,27,-,-,-,-,4,1,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,55,32,33,31,91,18,70,19,-,-,-,-,-,-,37,9,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,-,-,-,-,153,100,155,74,-,-,-,-,-,-,13,2,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,108,52,213,90,-,-,-,-,-,-,-,-,-,-,25,3,12 高雄市,2 技職
1166,亞東技術學院,D 日,M 碩士,13,4,8,3,3,1,2,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1166,亞東技術學院,D 日,B 四技,698,293,731,267,709,285,718,315,-,-,-,-,-,-,115,32,01 新北市,2 技職
1166,亞東技術學院,D 日,C 二技,-,-,-,-,5,87,-,91,-,-,-,-,-,-,-,1,01 新北市,2 技職
